lga_code11, _2006_07_net_num, _2011_12_arrivals_num, _2008_09_net_num, _2015_16_departures_num, _2009_10_net_num, _2012_13_departures_num, _2014_15_departures_num, _2013_14_arrivals_num, _2006_07_arrivals_num, _2014_15_net_num, _2010_11_net_num, _2009_10_departures_num, _2007_08_departures_num, _2012_13_arrivals_num, state_code, _2007_08_arrivals_num, _2007_08_net_num, _2015_16_net_num, _2013_14_net_num, _2006_07_departures_num, _2014_15_arrivals_num, _2008_09_arrivals_num, lga_name11, _2008_09_departures_num, _2012_13_net_num, _2011_12_net_num, _2009_10_arrivals_num, _2013_14_departures_num, _2015_16_arrivals_num, _2010_11_arrivals_num, _2010_11_departures_num, _2011_12_departures_num
"10050",-66,3203,-70,3452,30,3215,3134,3279,3535,66,100,3300,3494,3128,"1",3531,37,112,105,3601,3200,3481,"Albury (C)",3551,-87,-269,3330,3174,3564,3286,3186,3472
"10110",-78,1816,-7,1802,-21,1764,1812,1432,1966,-232,-30,1927,1844,1689,"1",2039,195,-133,-356,2044,1580,2006,"Armidale Dumaresq (A)",2013,-75,-120,1906,1788,1669,1849,1879,1936
"10150",-588,3735,-1088,4732,-757,4411,4569,3654,3743,-887,-805,4830,4805,3708,"1",3882,-923,-820,-1147,4331,3682,4194,"Ashfield (A)",5282,-703,-874,4073,4801,3912,3831,4636,4609
"10200",-853,6072,-1718,9095,-1624,7269,8025,6948,5215,-1120,-933,7243,6623,6519,"1",5496,-1127,-2337,-1293,6068,6905,5881,"Auburn (C)",7599,-750,-903,5619,8241,6758,5992,6925,6975
"10250",547,3260,329,2860,147,2826,2955,3072,3909,233,-32,3131,3305,3141,"1",3819,514,746,300,3362,3188,3678,"Ballina (A)",3349,315,263,3278,2772,3606,3059,3091,2997
"10300",-88,115,-49,160,-24,142,134,152,124,-30,-55,162,230,122,"1",178,-52,-40,31,212,104,132,"Balranald (A)",181,-20,-25,138,121,120,85,140,140
"10350",-392,10938,-471,13648,-408,12471,13549,12696,10877,-1671,-337,12150,11606,11336,"1",10687,-919,-1626,-788,11269,11878,12328,"Bankstown (C)",12799,-1135,-1023,11742,13484,12022,11591,11928,11961
"10470",36,2388,344,2180,394,2086,1981,2287,2373,369,171,2067,2251,2231,"1",2569,318,344,83,2337,2350,2608,"Bathurst Regional (A)",2264,145,105,2461,2204,2524,2231,2060,2283
"10550",34,2055,-29,1770,411,1868,1610,1919,2288,164,72,1731,2304,1971,"1",2180,-124,276,193,2254,1774,2026,"Bega Valley (A)",2055,103,146,2142,1726,2046,2049,1977,1909
"10600",21,870,-210,979,-79,956,879,1048,1147,82,-96,1047,1187,898,"1",1094,-93,29,122,1126,961,937,"Bellingen (A)",1147,-58,-65,968,926,1008,944,1040,935
