m_75_79_yrs, uw_care_oth_chld_wo_pay_pc, obp_america_pc, fam_type_cpl_non_dep_chld, m_5_9_yrs, bd_stnd_dth_rate, psq_postgrad_deg_pc, m_tot, uw_care_own_oth_chld_wo_pay_pc, f_50_54_yrs, mtw_tot_empl, f_75_79_yrs, mtw_1_meth_tot, p_15_19_yrs, f_55_59_yrs, p_med_age, year, psq_grad_dip_cert_pc, disable_p_liv_priv_dwell_pc, att_preschl_15_hrs_less, psq_adv_dip_dip_pc, f_45_49_yrs, f_35_39_yrs, internet_access_dial_up_pc, p_20_24_yrs, p_85_yrs_plus_pc, p_15_24_yrs_pc, disable_p_liv_priv_dwell, m_med_age, p_45_49_yrs, m_65_69_yrs, obp_se_asia_pc, obp_sth_east_europe_pc, m_15_19_yrs, f_40_44_yrs, m_0_4_yrs, rime_departures, oep_sal_wrk_pc, f_25_29_yrs, internet_access_tot_connected_pc, enrl_preschl_prog_tot, p_35_39_yrs, m_30_34_yrs, obp_sth_cntrl_asia_pc, hhold_type_fam, p_25_29_yrs, prop_indig_ppl_pc, rime_net_migrtn, p_80_84_yrs, fam_type_opf_non_dep_chld, fam_avg_size, p_55_59_yrs, uw_prov_care_hpl_assist_oth_pc, p_tot, m_60_64_yrs, p_5_9_yrs, psq_bach_deg_pc, m_55_59_yrs, p_25_34_yrs_pc, mtw_oth_wrk_meth_ns, p_85_yrs_and_over, m_10_14_yrs, mtw_1_meth_bicycle, oep_inad_desc_ns_pc, enrl_preschl_prog_preschl_daycare, mtw_more_1_meth_tot, m_80_84_yrs, m_25_29_yrs, mtw_oth_emp_not_go_to_wrk, fam_type_oth_fam, bd_tot_fert_rate, p_30_34_yrs, mtw_1_meth_oth, uw_volunt_wrk_org_grp_pc, fam_type_tot, fam_type_cpl_chld_u15_dep_stu, enrl_preschl_prog_5_yrs, p_45_54_yrs_pc, mtw_1_meth_bus, f_70_74_yrs, hhold_type_group, m_50_54_yrs, p_0_4_yrs, hhold_type_tot, oep_mach_oper_driv_pc, f_20_24_yrs, pop_density, p_75_79_yrs, p_10_14_yrs, att_preschl_15_hrs_more, obp_nw_europe_pc, obp_tot_pc, fam_type_cpl_wo_chld, f_10_14_yrs, obp_ne_asia_pc, p_50_54_yrs, oep_lab_pc, bd_births, oep_cler_admin_wrk_pc, f_30_34_yrs, oep_manager_pc, m_45_49_yrs, obp_sub_saharan_africa_pc, p_70_74_yrs, sa3_name_2011, f_60_64_yrs, internet_access_other_pc, uw_care_own_chld_wo_pay_pc, p_40_44_yrs, m_85_yrs_and_over, psq_pop_15_yrs_plus_pc, p_55_64_yrs_pc, m_70_74_yrs, bd_deaths, enrl_preschl_prog_preschl, p_tot_wrk_age_pop_pc, fam_type_opf_chld_u15_dep_stu, mtw_1_meth_car, psq_inad_desc_ns_pc, p_75_84_yrs_pc, oep_prof_pc, mtw_1_meth_walk_ono, psq_cert_pc, m_35_39_yrs, spk_lang_oth_eng_pc, p_35_44_yrs_pc, oep_comm_pers_serv_wrk_pc, rime_arrivals, enrl_preschl_prog_1_more_type, m_40_44_yrs, p_65_74_yrs_pc, p_0_14_yrs_pc, f_85_yrs_and_over, obp_nrth_afric_mid_east_pc, hhold_avg_size, f_80_84_yrs, obp_oceania_antar_pc, m_20_24_yrs, mtw_1_meth_motorbike_or_scooter, f_5_9_yrs, mtw_oth_wrk_home, enrl_preschl_prog_4_yrs, f_0_4_yrs, internet_access_broadband_pc, f_tot, sa3_code_2011, f_15_19_yrs, hhold_type_lone_pers, p_60_64_yrs, f_med_age, f_65_69_yrs, p_65_69_yrs, mtw_1_meth_train_or_tram, oep_tech_trade_wrk_pc
1155,null,null,null,2585,6.3,null,36238,null,2603,null,1209,null,4689,2339,42,"2014",null,null,468,null,2312,2178,null,3634,2.3,11.5,null,42,4875,2199,null,null,2450,2555,2264,3834,null,1719,null,961,4232,1802,null,null,3508,null,168,1681,null,null,4787,null,72091,2404,4912,null,2448,9.9,null,1672,2543,null,null,454,null,749,1789,null,null,2.2,3661,null,null,null,null,256,14.0,null,1691,null,2615,4382,null,null,1768,3.4,2364,4931,456,null,null,null,2388,null,5218,null,738,null,1859,null,2563,null,3413,"Goulburn - Yass",2398,null,null,5011,574,null,13.3,1722,647,483,61.6,null,null,null,5.6,null,null,null,2054,null,12.8,null,4002,26,2456,10.7,19.7,1098,null,null,932,null,1866,null,2327,null,701,2118,null,35853,"10101",2239,null,4802,43,2120,4319,null,null
540,null,null,null,1862,5.4,null,29116,null,2201,null,543,null,3771,1836,38,"2014",null,null,350,null,2181,1904,null,3738,1.3,13.0,null,38,4455,1265,null,null,1912,2318,1907,4342,null,1843,null,762,3886,1953,null,null,3918,null,-109,728,null,null,3854,null,57624,1565,3657,null,2018,13.8,null,728,1925,null,null,260,null,328,2075,null,null,1.9,4057,null,null,null,null,148,15.3,null,844,null,2181,3730,null,null,1817,8.9,1083,3824,397,null,null,null,1899,null,4382,null,709,null,2104,null,2274,null,1686,"Queanbeyan",1514,null,null,4631,253,null,12.0,842,262,462,69.0,null,null,null,3.1,null,null,null,1982,null,14.8,null,4233,38,2313,7.1,19.5,475,null,null,400,null,1921,null,1795,null,608,1823,null,28508,"10102",1859,null,3079,38,1152,2417,null,null
315,null,null,null,707,5.0,null,10411,null,741,null,317,null,1442,666,43,"2014",null,null,162,null,714,495,null,1034,2.4,12.4,null,42,1449,653,null,null,789,721,543,1151,null,390,null,298,1079,476,null,null,938,null,-14,453,null,null,1430,null,19924,613,1295,null,764,9.5,null,482,651,null,null,111,null,226,548,null,null,2.0,959,null,null,null,null,67,15.3,null,415,null,852,1090,null,null,418,1.4,632,1272,128,null,null,null,621,null,1593,null,170,null,483,null,735,null,874,"Snowy Mountains",619,null,null,1428,173,null,13.4,459,149,160,63.2,null,null,null,5.4,null,null,null,584,null,12.6,null,1137,23,707,10.6,18.4,309,null,null,227,null,616,null,588,null,229,547,null,9513,"10103",653,null,1232,44,589,1242,null,null
1645,null,null,null,2053,5.9,null,35184,null,2897,null,1626,null,4173,3233,51,"2014",null,null,407,null,2106,1642,null,2524,3.1,9.4,null,50,4254,3122,null,null,2148,2056,1745,3772,null,1223,null,834,3111,1298,null,null,2496,null,469,2262,null,null,6182,null,71305,3156,4018,null,2949,7.4,null,2238,2132,null,null,307,null,1058,1273,null,null,2.1,2803,null,null,null,null,211,13.6,null,2295,null,2551,3324,null,null,1225,7.2,3271,4145,406,null,null,null,2013,null,5448,null,529,null,1505,null,2148,null,4724,"South Coast",3070,null,null,3906,859,null,17.4,2429,772,454,57.7,null,null,null,7.8,null,null,null,1469,null,9.8,null,4241,74,1850,15.3,16.1,1379,null,null,1204,null,1299,null,1965,null,622,1579,null,36121,"10104",2025,null,6226,51,3078,6200,null,null
2779,null,null,null,5510,5.8,null,84097,null,6393,null,3303,null,11174,5786,42,"2014",null,null,901,null,5907,5072,null,10101,3.3,12.3,null,41,11284,5002,null,null,5758,6003,5143,9322,null,4572,null,1999,9866,4612,null,null,9197,null,710,4862,null,null,11390,null,172751,4939,10712,null,5604,10.8,null,5691,5367,null,null,1578,null,2065,4625,null,null,1.9,9456,null,null,null,null,546,13.6,null,4073,null,5881,9984,null,null,4828,174.8,6082,10457,1037,null,null,null,5090,null,12274,null,1688,null,4844,null,5377,null,7799,"Gosford",5473,null,null,11668,1977,null,12.6,3726,1774,380,61.8,null,null,null,6.3,null,null,null,4794,null,12.5,null,10032,38,5665,10.5,18.0,3714,null,null,2797,null,5273,null,5202,null,1452,4841,null,88654,"10201",5416,null,10412,44,5340,10342,null,null
2607,null,null,null,5526,6.4,null,76737,null,5360,null,3078,null,10513,5126,41,"2014",null,null,1031,null,4945,4635,null,9381,2.7,12.6,null,40,9701,4322,null,null,5379,5445,5067,8670,null,4582,null,1988,8838,4340,null,null,8887,null,1347,4387,null,null,9872,null,158256,4417,10790,null,4746,11.3,null,4329,5136,null,null,1307,null,1928,4305,null,null,2.0,8964,null,null,null,null,482,12.7,null,3925,null,4985,9987,null,null,4624,228.5,5685,10220,903,null,null,null,5084,null,10345,null,1697,null,4624,null,4756,null,7481,"Wyong",4687,null,null,10578,1574,null,12.0,3556,1547,636,60.8,null,null,null,6.4,null,null,null,4203,null,12.3,null,10017,42,5133,10.5,19.6,2755,null,null,2459,null,4757,null,5264,null,1508,4920,null,81519,"10202",5134,null,9104,42,4872,9194,null,null
591,null,null,null,1664,6.4,null,23806,null,1519,null,698,null,3624,1406,37,"2014",null,null,203,null,1448,1316,null,4033,1.8,16.3,null,35,2854,1224,null,null,1945,1607,1464,2504,null,1398,null,430,2586,1396,null,null,3018,null,159,891,null,null,2880,null,46998,1326,3222,null,1474,12.1,null,860,1657,null,null,172,null,384,1620,null,null,1.9,2668,null,null,null,null,102,12.6,null,865,null,1533,2873,null,null,1932,6.7,1289,3165,212,null,null,null,1508,null,3052,null,517,null,1272,null,1406,null,1761,"Bathurst",1312,null,null,3171,291,null,11.7,896,327,251,64.9,null,null,null,4.6,null,null,null,1270,null,12.2,null,2663,9,1564,8.9,19.7,569,null,null,507,null,2101,null,1558,null,329,1409,null,23192,"10301",1679,null,2638,38,1189,2413,null,null
1137,null,null,null,2051,6.5,null,28735,null,1874,null,1196,null,3783,1856,43,"2014",null,null,453,null,1746,1505,null,2943,3.0,11.8,null,42,3512,1768,null,null,1940,1723,1822,2947,null,1390,null,839,2933,1536,null,null,2786,null,-60,1636,null,null,3857,null,57213,1924,3966,null,2001,10.1,null,1699,1987,null,null,515,null,738,1396,null,null,2.4,3017,null,null,null,null,198,13.0,null,1437,null,2024,3650,null,null,1362,1.4,2333,3936,345,null,null,null,1949,null,3898,null,646,null,1481,null,1766,null,2839,"Lachlan Valley",1736,null,null,3371,586,null,13.1,1402,577,283,59.0,null,null,null,6.9,null,null,null,1428,null,11.0,null,2887,38,1648,10.9,20.2,1113,null,null,898,null,1581,null,1915,null,641,1828,null,28478,"10302",1843,null,3660,43,1626,3394,null,null
803,null,null,null,1607,6.4,null,23936,null,1662,null,866,null,2792,1539,43,"2014",null,null,339,null,1553,1275,null,2543,2.2,11.4,null,42,3164,1505,null,null,1444,1506,1501,2651,null,1198,null,554,2567,1218,null,null,2562,null,20,1079,null,null,3143,null,46748,1586,3072,null,1604,10.6,null,1016,1622,null,null,153,null,499,1364,null,null,2.3,2379,null,null,null,null,137,14.2,null,1115,null,1794,2823,null,null,1207,2.9,1669,3058,203,null,null,null,1436,null,3456,null,510,null,1161,null,1611,null,2314,"Lithgow - Mudgee",1477,null,null,3096,361,null,13.3,1199,401,360,61.5,null,null,null,5.9,null,null,null,1292,null,12.1,null,2671,45,1590,11.3,19.2,655,null,null,580,null,1336,null,1465,null,416,1322,null,22812,"10303",1348,null,3063,43,1447,2952,null,null
795,null,null,null,2250,6.3,null,29314,null,1933,null,879,null,4078,1760,37,"2014",null,null,434,null,1755,1755,null,3675,1.9,13.2,null,36,3581,1457,null,null,2058,1974,2339,2851,null,1927,null,734,3490,1918,null,null,3734,null,29,1266,null,null,3562,null,58891,1693,4288,null,1802,12.9,null,1112,2039,null,null,313,null,545,1807,null,null,2.2,3866,null,null,null,null,184,12.5,null,1124,null,1870,4433,null,null,1769,9.4,1674,4134,270,null,null,null,2095,null,3803,null,787,null,1948,null,1826,null,2148,"Orange",1600,null,null,3852,372,null,11.6,1024,432,380,62.7,null,null,null,5.0,null,null,null,1735,null,12.5,null,2880,42,1878,8.6,21.8,740,null,null,721,null,1906,null,2038,null,553,2094,null,29577,"10304",2020,null,3293,38,1445,2902,null,null
1096,null,null,null,1606,6.1,null,25032,null,1983,null,1086,null,3344,2043,47,"2014",null,null,331,null,1585,1186,null,2351,2.8,11.3,null,47,3047,1956,null,null,1713,1619,1314,2779,null,988,null,602,2346,1024,null,null,1929,null,-94,1571,null,null,4035,null,50578,1974,3085,null,1992,8.1,null,1392,1641,null,null,218,null,727,941,null,null,2.1,2182,null,null,null,null,133,13.5,null,1416,null,1817,2539,null,null,1126,5.5,2182,3209,243,null,null,null,1568,null,3800,null,456,null,1158,null,1462,null,2829,"Clarence Valley",1885,null,null,3069,521,null,15.6,1413,514,362,59.2,null,null,null,7.4,null,null,null,1160,null,10.7,null,2685,22,1450,13.1,17.5,871,null,null,844,null,1225,null,1479,null,464,1225,null,25546,"10401",1631,null,3859,48,1853,3809,null,null
1392,null,null,null,2750,6.1,null,42072,null,3241,null,1577,null,5686,3363,43,"2014",null,null,488,null,2991,2285,null,4441,2.6,11.8,null,43,5575,2642,null,null,2925,2952,2601,4990,null,2092,null,1103,4426,2111,null,null,4243,null,44,2229,null,null,6605,null,85840,3060,5454,null,3242,9.9,null,2233,2842,null,null,683,null,1004,2151,null,null,2.2,4231,null,null,null,null,265,13.8,null,2026,null,3046,5069,null,null,2211,21.6,2969,5602,577,null,null,null,2760,null,6287,null,875,null,2120,null,2584,null,3952,"Coffs Harbour",2992,null,null,5542,835,null,14.7,1926,772,378,61.8,null,null,null,6.1,null,null,null,2141,null,11.6,null,5034,40,2590,10.7,18.8,1398,null,null,1225,null,2230,null,2704,null,836,2468,null,43768,"10402",2761,null,6052,44,2602,5244,null,null
410,null,null,null,1097,7.8,null,14128,null,885,null,378,null,1514,815,39,"2014",null,null,188,null,789,804,null,1693,1.7,11.9,null,40,1722,760,null,null,765,868,1043,2121,null,830,null,499,1537,806,null,null,1768,null,-297,517,null,null,1838,null,26945,831,2124,null,1023,12.4,null,467,843,null,null,39,null,273,938,null,null,2.6,1560,null,null,null,null,98,13.5,null,495,null,1034,2057,null,null,816,0.2,788,1655,272,null,null,null,812,null,1919,null,373,null,754,null,933,null,1162,"Bourke - Cobar - Coonamble",655,null,null,1788,175,null,12.3,667,255,456,62.4,null,null,null,4.8,null,null,null,733,null,12.3,null,1824,7,920,9.3,21.7,292,null,null,244,null,877,null,1027,null,401,1014,null,12817,"10501",749,null,1486,38,590,1350,null,null
354,null,null,null,638,7.1,null,10939,null,814,null,451,null,1275,772,43,"2014",null,null,134,null,703,495,null,1297,2.7,11.8,null,42,1380,668,null,null,674,685,638,987,null,598,null,350,1029,603,null,null,1299,null,-127,628,null,null,1581,null,21839,766,1287,null,809,11.6,null,590,771,null,null,6,null,257,701,null,null,2.1,1239,null,null,null,null,76,13.9,null,497,null,841,1237,null,null,653,0.1,805,1410,205,null,null,null,639,null,1655,null,227,null,636,null,677,null,993,"Broken Hill and Far West",683,null,null,1357,196,null,13.9,496,232,331,62.1,null,null,null,6.6,null,null,null,534,null,10.9,null,860,6,672,10.6,18.0,394,null,null,371,null,644,null,649,null,273,599,null,10900,"10502",601,null,1449,44,660,1328,null,null
1126,null,null,null,2752,6.5,null,35082,null,2486,null,1186,null,4681,2289,39,"2014",null,null,435,null,2247,2089,null,4213,2.3,12.5,null,38,4397,1888,null,null,2443,2269,2537,3857,null,2188,null,962,3966,1840,null,null,4215,null,-269,1691,null,null,4572,null,70958,2077,5225,null,2283,11.4,null,1605,2601,null,null,321,null,740,2027,null,null,2.3,3905,null,null,null,null,230,13.0,null,1509,null,2365,4967,null,null,2088,2.4,2312,5019,500,null,null,null,2418,null,4851,null,892,null,2065,null,2150,null,2959,"Dubbo",2018,null,null,4478,592,null,12.2,1450,635,601,61.1,null,null,null,5.6,null,null,null,1877,null,11.9,null,3588,42,2209,9.5,21.4,1013,null,null,951,null,2125,null,2473,null,739,2430,null,35876,"10503",2238,null,4095,40,1919,3807,null,null
1028,null,null,null,3157,6.9,null,44811,null,2920,null,1136,null,5995,2882,37,"2014",null,null,576,null,2787,2635,null,5671,1.6,13.2,null,37,5787,2278,null,null,3062,2917,3137,5693,null,2830,null,1156,5374,3060,null,null,5875,null,279,1538,null,null,5824,null,88105,2580,6138,null,2942,13.3,null,1427,2954,null,null,448,null,644,3045,null,null,2.1,5869,null,null,null,null,288,13.3,null,1463,null,3016,6161,null,null,2653,10.3,2164,5793,546,null,null,null,2839,null,5936,null,1046,null,2809,null,3000,null,3039,"Lower Hunter",2498,null,null,6026,466,null,12.4,1576,662,663,65.2,null,null,null,4.2,null,null,null,2739,null,12.9,null,5972,44,3109,8.5,20.5,961,null,null,894,null,3018,null,2981,null,870,3024,null,43294,"10601",2933,null,5078,38,2132,4410,null,null
792,null,null,null,2652,5.7,null,35843,null,2400,null,888,null,4930,2165,36,"2014",null,null,467,null,2299,2492,null,4856,1.7,13.6,null,35,4553,1545,null,null,2491,2616,2721,4966,null,2353,null,1094,4952,2429,null,null,4861,null,986,1279,null,null,4252,null,71813,1844,5162,null,2087,13.5,null,1207,2624,null,null,588,null,529,2508,null,null,2.1,4855,null,null,null,null,244,13.0,null,1069,null,2393,5225,null,null,2382,188.9,1680,4897,602,null,null,null,2273,null,4793,null,926,null,2426,null,2254,null,2172,"Maitland",1856,null,null,5190,363,null,11.1,1103,434,461,65.4,null,null,null,4.1,null,null,null,2460,null,14.1,null,5952,47,2574,7.5,21.3,844,null,null,750,null,2474,null,2510,null,849,2504,null,35970,"10602",2439,null,3700,37,1704,3249,null,null
1400,null,null,null,2334,5.5,null,35951,null,2503,null,1437,null,4478,2404,44,"2014",null,null,406,null,2373,1935,null,3970,2.4,11.7,null,43,4599,2671,null,null,2289,2391,2179,5076,null,1655,null,849,3810,1739,null,null,3360,null,434,1944,null,null,4751,null,72463,2321,4668,null,2347,9.6,null,1736,2403,null,null,483,null,893,1705,null,null,2.1,3603,null,null,null,null,172,13.2,null,2045,null,2496,4126,null,null,1875,67.6,2837,4656,404,null,null,null,2253,null,4999,null,690,null,1864,null,2226,null,4155,"Port Stephens",2515,null,null,4562,697,null,13.2,2110,657,354,59.3,null,null,null,6.6,null,null,null,1875,null,11.6,null,5510,10,2171,13.1,18.6,1039,null,null,1051,null,2095,null,2334,null,676,1947,null,36512,"10603",2189,null,4836,45,2702,5373,null,null
